iter	Logloss
0	0.660441737
1	0.6292710494
2	0.6024372942
3	0.5776018363
4	0.5507570698
5	0.529888559
6	0.5190064381
7	0.506123387
8	0.4886407449
9	0.475767326
10	0.4598394136
11	0.448234551
12	0.4386684469
13	0.428218412
14	0.4200048235
15	0.411785869
16	0.4046470685
17	0.4014047673
18	0.3973556012
19	0.3888618188
20	0.3800213809
21	0.3752708128
22	0.3718488255
23	0.3666714873
24	0.3594510432
25	0.3536556985
26	0.3487521735
27	0.3429323225
28	0.3375888662
29	0.3324088995
30	0.3274373681
31	0.3229335853
32	0.3208554364
33	0.318713066
34	0.316255594
35	0.3115089441
36	0.3074847228
37	0.3062990607
38	0.3034738469
39	0.3005256131
40	0.2975336037
41	0.2971114203
42	0.2946411364
43	0.2898343913
44	0.288477289
45	0.2862286478
46	0.2831713396
47	0.2797392411
48	0.2749347788
49	0.2735616688
50	0.2710110098
51	0.2679472515
52	0.267714945
53	0.2662344063
54	0.2636030079
55	0.2611336525
56	0.2578255396
57	0.2566377692
58	0.2547735654
59	0.2530113164
60	0.2516322096
61	0.2487601553
62	0.2482196304
63	0.2478926947
64	0.2448088494
65	0.2423504753
66	0.2408989627
67	0.2405614128
68	0.2380515632
69	0.2375108494
70	0.2351468847
71	0.2333076661
72	0.232372279
73	0.2320930124
74	0.2303750848
75	0.2277440468
76	0.226312354
77	0.2253064562
78	0.2235397294
79	0.2223801867
80	0.2218365371
81	0.2207921049
82	0.2189502912
83	0.2185262531
84	0.2185261914
85	0.2184922094
86	0.2184453802
87	0.2184147974
88	0.2166895397
89	0.2154975386
