iter	Passed	Remaining
0	217	173834
1	252	100597
2	284	75609
3	318	63435
4	357	56843
5	396	52475
6	410	46499
7	432	42780
8	463	40761
9	484	38264
10	527	37818
11	548	36000
12	583	35313
13	617	34667
14	656	34338
15	696	34126
16	724	33373
17	741	32232
18	754	31028
19	786	30686
20	825	30640
21	851	30127
22	886	29954
23	918	29705
24	955	29606
25	1002	29856
26	1047	29996
27	1082	29847
28	1130	30061
29	1165	29919
30	1198	29729
31	1231	29563
32	1275	29650
33	1308	29468
34	1342	29350
35	1387	29452
36	1460	30111
37	1519	30461
38	1555	30349
39	1593	30270
40	1641	30392
41	1667	30101
42	1703	29991
43	1738	29872
44	1787	29982
45	1822	29868
46	1863	29851
47	1912	29963
48	1952	29917
49	1992	29883
50	2027	29783
51	2074	29847
52	2090	29468
53	2127	29389
54	2161	29283
55	2207	29327
56	2246	29288
57	2284	29225
58	2319	29131
59	2371	29251
60	2410	29198
61	2452	29197
62	2472	28923
63	2530	29100
64	2579	29171
65	2629	29243
66	2677	29289
67	2715	29228
68	2756	29203
69	2782	29015
70	2827	29034
71	2879	29112
72	2910	28981
73	2925	28702
74	2986	28868
75	3049	29052
76	3099	29103
77	3149	29157
78	3188	29103
79	3227	29050
80	3268	29009
81	3315	29032
82	3351	28953
83	3388	28879
84	3395	28563
85	3409	28306
86	3429	28104
87	3445	27878
88	3489	27874
89	3524	27804
